问题,人员,备注,完成时间,状态,目标完成时间
问题 8：http://icoco.ai/ 的 canonical 指向 coco.xyz，导致主域名权重被送走,"COCO技术人员, 李家乐",,"June 4, 2026",完成,2026/06/09
问题 9：http://icoco.ai/ 的 sitemap 仍提交 coco.xyz URL,"COCO技术人员, 李家乐",,"June 4, 2026",完成,2026/06/09
问题 7：新旧域名重复在线，没有完成 301 合并,"COCO技术人员, 李家乐",,,完成,2026/06/17
"问题 10：首页语言与元数据不一致

","COCO技术人员, 李家乐",,"June 4, 2026",完成,2026/06/09
问题 1：核心内容依赖客户端渲染，首屏 HTML 对低权重站不够友好,COCO技术人员,,,进行中,2026/06/25
"问题 11：docs 内容资产没有被主站有效承接

","COCO技术人员, 李家乐",,"June 4, 2026",完成,2026/06/09
问题 2：/about canonical 指向首页而非自身** | Google 不会独立索引 /about，品牌页白做 | http://icoco.ai/ |,COCO技术人员,,,进行中,2026/06/25
"问题 3：/about 与首页共用同一个 title** | 两页 title 都是 ""COCO AI — Hire AI Digital Employees""，无法区分 | icoco.ai |",COCO技术人员,,,进行中,2026/06/25
问题 6：中英双语但缺少 hreflang 标签** | 中文内容仅靠 JS 切换，Google 完全不知道有中文版本 → 丢失所有中文搜索流量 | http://icoco.ai/ |,COCO技术人员,,,进行中,2026/06/30
问题5：未找到 (404),COCO技术人员,,,进行中,2026/06/21
问题4：重复，Google 选择的规范网址与用户选择的规范网址不同,COCO技术人员,,,进行中,2026/06/21