素材名,发布Date,发布平台,发布状态,备注,实际发布Date,实际已发布平台,视频类型
"kevin 0318_coco线下活动现场视频 ",2026/04/20,"YouTube, 小红书, 视频号",已完成,,2026/04/20,,长视频
" Charlie 0318_coco线下活动现场视频 ",2026/04/20,"YouTube, 小红书, 视频号",已完成,,2026/04/20,,长视频
0331_Charlie和vivi podcast Charlie和vivi podcast,2026/04/21,"YouTube, 小红书, 视频号",已完成,,,,长视频
" 0407katherine 的podcas",2026/04/21,"YouTube, 小红书, 视频号",已完成,,2026/04/21,,长视频
0326_charlie直播视频 十年OG解读Crypto周期、AI与Web3终局(1),2026/04/22,"YouTube, 小红书, 视频号",已完成,,2026/04/22,,长视频
314_Uweb直播课 十年OG解读Crypto周期、AI与Web3终局,2026/04/22,"YouTube, 小红书, 视频号",已完成,,2026/04/22,,长视频
0407katherine 的podcast,2026/04/23,"YouTube, 小红书, 视频号",已完成,,2026/04/23,,长视频
"0414_BTV的直播视频17分钟 ",2026/04/23,"YouTube, 小红书, 视频号",已完成,,2026/04/23,,长视频
" 0414_499 ",2026/04/24,"YouTube, 小红书, 视频号",已完成,,2026/04/24,,长视频
" 切片2 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/20,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片3 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/21,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片4 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/21,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片5 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/22,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片6 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/22,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片7 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/23,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片8 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/23,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片9 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/24,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片1 0329_法国龙虾分享会 法国线下龙虾线上分享会",2026/04/24,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片2 0329_法国龙虾分享会 法国线下龙虾线上分享会",2026/04/25,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片3 0329_法国龙虾分享会 法国线下龙虾线上分享会",2026/04/25,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片4 0329_法国龙虾分享会 法国线下龙虾线上分享会",2026/04/26,"YouTube, 小红书, 视频号",已完成,,,,视频切片
切片1 0407katherine 的podcast,2026/04/26,"YouTube, 小红书, 视频号",已完成,,,,视频切片
切片2 0407katherine 的podcast,2026/04/27,"YouTube, 小红书, 视频号",已完成,,,,视频切片
切片3 0407katherine 的podcast,2026/04/27,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
切片4 0407katherine 的podcast,2026/04/28,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
切片5 0407katherine 的podcast,2026/04/28,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
切片6 0407katherine 的podcast,2026/04/29,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
切片1 0327_cocotalk,2026/04/29,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
切片2 0327_cocotalk,2026/04/30,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
切片3 0327_cocotalk,2026/04/30,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
切片4 0327_cocotalk,2026/05/01,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
切片5 0327_cocotalk,2026/05/01,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
切片6 0327_cocotalk,2026/05/02,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
切片7 0327_cocotalk,2026/05/02,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
切片8 0327_cocotalk,2026/05/03,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
"切片1 0326_charlie直播视频 十年OG解读Crypto周期、AI与Web3终局(1) ",2026/05/03,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
"切片2 0326_charlie直播视频 十年OG解读Crypto周期、AI与Web3终局(1) ",2026/05/04,"YouTube, 小红书, 视频号",已完成,,,,视频切片
"切片3 0326_charlie直播视频 十年OG解读Crypto周期、AI与Web3终局(1) ",2026/05/04,"YouTube, 小红书, 视频号",已完成,,,,视频切片
切片1 0314_Uweb直播课 十年OG解读Crypto周期、AI与Web3终局,2026/05/05,"YouTube, 小红书, 视频号",已完成,,,,视频切片
切片2 0314_Uweb直播课 十年OG解读Crypto周期、AI与Web3终局,2026/05/05,"YouTube, 小红书, 视频号",已完成,,,,视频切片
切片3 0314_Uweb直播课 十年OG解读Crypto周期、AI与Web3终局,2026/05/06,"YouTube, 小红书, 视频号",已完成,,,,视频切片
切片4 0314_Uweb直播课 十年OG解读Crypto周期、AI与Web3终局,2026/05/06,"YouTube, 小红书, 视频号",已完成,,,,视频切片
长视频0319_charlie HKU 现场视频,2026/04/24,"YouTube, 小红书, 视频号",已完成,,,,长视频
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
崔牛会视频切片3,2026/05/15,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
COCO Talk EP3切片1,2026/05/10,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
COCO Talk EP3 切片2,2026/05/11,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
COCO Talk EP3 切片3,2026/05/11,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
COCO Talk EP3 切片4,2026/05/12,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
COCO Talk EP3 切片5,2026/05/12,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
COCO Talk EP3 切片6,2026/05/13,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
COCO Talk EP3 切片7,2026/05/13,"LinkedIn, 推特",已完成,,,,视频切片
崔牛会,2026/05/10,"YouTube, 推特",已完成,,,,长视频
NYC活动上期,2026/05/13,"YouTube, 推特",已完成,,,,长视频
NYC活动下期,2026/05/14,"YouTube, 推特",已完成,,,,长视频
崔牛会切片1,2026/05/14,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
崔牛会切片2,2026/05/14,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
NYC活动切片1,2026/05/14,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
崔牛会视频切片4,2026/05/16,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
崔牛会视频切片5,2026/05/18,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
NYC活动视频切片2,2026/05/19,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
NYC活动视频切片3,2026/05/20,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
,,,,,,,
COCO Talk EP3 切片7,2026/05/17,"YouTube, 小红书, 视频号",已完成,,,,视频切片
和ambient创始人的podcast,2026/05/22,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
NYC活动视频切片4,2026/05/24,"小红书, 视频号",已完成,,,,视频切片
Jessie大漂亮访谈视频切片1,2026/05/24,"LinkedIn, YouTube, 推特",已完成,,,,视频切片
Jessie大漂亮访谈视频切片2,2026/05/25,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
Jessie大漂亮访谈视频切片3,2026/05/26,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
NYC活动视频切片5,2026/05/15,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
COCO Talk EP4长视频,2026/05/27,"YouTube, 视频号",部分完成,,,,视频切片
COCO Talk EP1,2026/05/21,小宇宙,已完成,,,,长视频
COCO Talk EP2,2026/05/25,小宇宙,已完成,,,,长视频
,,,,,,,
,,,,,,,
COCO Talk EP3,2026/05/29,小宇宙,已完成,,,,长视频
demo视频1,2026/06/01,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,demo演示视频
demo视频2,2026/06/03,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,demo演示视频
COCO Talk EP4切片3,2026/06/03,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
COCO Talk EP4切片2,2026/05/27,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
,,,,,,,
SuperAI大会预热视频,2026/06/02,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,单独视频
COCO Talk EP4,2026/06/02,小宇宙,已完成,,,,长视频
Tiger视频2英文版,2026/06/11,"LinkedIn, YouTube, 推特",已完成,,,,UGC
demo视频3英文版,2026/06/11,"LinkedIn, YouTube, 推特",已完成,,,,demo演示视频
VIP dinner,2026/06/11,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,单独视频
和Paolo直播切片1,2026/06/12,"小红书, 视频号",已完成,,,,视频切片
demo视频3中文版,2026/06/13,"小红书, 视频号",已完成,,,,demo演示视频
和Paolo直播切片2,2026/06/13,"小红书, 视频号",已完成,,,,视频切片
和Paolo直播切片3,2026/06/14,"小红书, 视频号",已完成,,,,视频切片
和Paolo直播切片4,2026/06/14,"小红书, 视频号",已完成,,,,视频切片
和Paolo直播切片5,2026/06/15,"小红书, 视频号",已完成,,,,视频切片
和paolo直播切片6,2026/06/15,"小红书, 视频号",已完成,,,,视频切片
Tiger视频3,2026/06/16,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,UGC
知外文化客户案例1,2026/06/19,"LinkedIn, YouTube, 小红书, 推特, 视频号",已完成,,,,usecase视频